Date,Open,High,Low,Close,Adj Close,Volume
2017-11-22,5.800000,8.950000,4.870000,4.880000,4.880000,2117800
2017-11-24,4.760000,4.960000,4.230000,4.540000,4.540000,119600
2017-11-27,4.150000,4.550000,3.350000,3.610000,3.610000,222300
2017-11-28,3.700000,4.090000,3.330000,3.430000,3.430000,159800
2017-11-29,3.400000,3.640000,3.340000,3.350000,3.350000,24600
2017-11-30,3.370000,4.230000,3.310000,3.600000,3.600000,346600
2017-12-01,3.580000,3.610000,3.390000,3.440000,3.440000,47600
2017-12-04,3.510000,3.570000,3.340000,3.340000,3.340000,36100
2017-12-05,3.300000,3.690000,3.300000,3.360000,3.360000,93100
2017-12-06,3.340000,3.520000,3.340000,3.520000,3.520000,29900
2017-12-07,3.500000,4.090000,3.350000,3.410000,3.410000,151000
2017-12-08,3.420000,3.480000,3.360000,3.380000,3.380000,15200
2017-12-11,3.360000,3.590000,3.360000,3.430000,3.430000,9300
2017-12-12,3.400000,4.700000,3.380000,3.810000,3.810000,941800
2017-12-13,3.640000,5.820000,3.620000,4.370000,4.370000,1611100
2017-12-14,4.750000,4.750000,4.000000,4.330000,4.330000,238100
2017-12-15,4.310000,4.460000,3.810000,3.880000,3.880000,117400
2017-12-18,4.030000,4.040000,3.770000,3.790000,3.790000,69300
2017-12-19,3.770000,4.300000,3.710000,3.940000,3.940000,266200
2017-12-20,3.820000,4.950000,3.800000,4.900000,4.900000,515600
2017-12-21,4.940000,5.360000,4.030000,4.190000,4.190000,297800
2017-12-22,4.240000,4.390000,4.010000,4.240000,4.240000,57600
2017-12-26,4.190000,4.440000,4.060000,4.130000,4.130000,32000
2017-12-27,4.080000,4.270000,4.080000,4.140000,4.140000,17900
2017-12-28,4.110000,4.230000,4.040000,4.040000,4.040000,21100
2017-12-29,4.040000,4.120000,4.010000,4.080000,4.080000,23500
2018-01-02,4.110000,4.350000,4.110000,4.280000,4.280000,13200
2018-01-03,4.300000,4.610000,4.200000,4.330000,4.330000,77900
2018-01-04,4.540000,4.590000,4.200000,4.380000,4.380000,31200
2018-01-05,4.400000,4.550000,4.320000,4.330000,4.330000,21500
2018-01-08,4.490000,4.590000,4.370000,4.540000,4.540000,16800
2018-01-09,4.500000,4.600000,4.300000,4.320000,4.320000,17300
2018-01-10,4.320000,4.470000,4.170000,4.190000,4.190000,19600
2018-01-11,4.140000,4.580000,4.120000,4.280000,4.280000,16200
2018-01-12,4.270000,4.390000,4.220000,4.320000,4.320000,2400
2018-01-16,4.390000,5.950000,4.380000,4.640000,4.640000,1289100
2018-01-17,4.680000,5.440000,4.650000,4.710000,4.710000,442200
2018-01-18,4.690000,4.850000,4.560000,4.660000,4.660000,39400
2018-01-19,4.730000,4.890000,4.610000,4.740000,4.740000,21700
